,date_index,era_id,ruler_id,dyn_id,cal_stream,era_start_year,era_end_year,max_year,era_name,date_string,has_int,year,sex_year,month,day,gz,lp,intercalary,error_str,ind_year,ind,year_gz,lunar_month,lunar_intercalary,nmd_jdn,hui_jdn,source,max_day,jdn,ISO_Date,nmd_gz,ruler_name,dyn_name
0,0,85.0,263.0,48.0,1.0,227.0,233.0,7.0,太和,魏明帝太和初,0,,,,,,,,,,,,,,,,,,,,,烈祖明皇帝曹叡,三國魏
1,1,85.0,263.0,48.0,1.0,227.0,233.0,7.0,太和,五年十一月晦,0,5.0,,11,30.0,35.0,-1.0,0.0,,231.0,5902.0,48.0,11.0,0.0,1805775.5,1805804.5,,30.0,1805804.5,0232-01-10,,烈祖明皇帝曹叡,三國魏
2,2,85.0,263.0,48.0,1.0,227.0,233.0,7.0,太和,六年正月戊辰朔,0,6.0,,1,1.0,5.0,0.0,0.0,,232.0,5904.0,49.0,1.0,0.0,1805834.5,1805863.5,,30.0,1805834.5,0232-02-09,5.0,烈祖明皇帝曹叡,三國魏
3,3,86.0,263.0,48.0,1.0,233.0,237.0,5.0,青龍,青龍元年閏月庚寅朔,1,1.0,,5,1.0,27.0,0.0,1.0,,233.0,5921.0,50.0,5.0,1.0,1806336.5,1806365.5,,30.0,1806336.5,0233-06-25,27.0,烈祖明皇帝曹叡,三國魏
4,4,88.0,3657.0,48.0,1.0,240.0,249.0,10.0,正始,少帝正始元年七月戊申朔,0,1.0,,7,1.0,45.0,0.0,0.0,,240.0,6009.0,57.0,7.0,0.0,1808934.5,1808963.5,,30.0,1808934.5,0240-08-05,45.0,邵陵厲公曹芳,三國魏
5,5,88.0,3657.0,48.0,1.0,240.0,249.0,10.0,正始,三年,0,3.0,,,,,,,,242.0,,,,,,,,,,,,邵陵厲公曹芳,三國魏
6,7,88.0,3657.0,48.0,1.0,240.0,249.0,10.0,正始,四年五月丁丑朔,0,4.0,,5,,14.0,0.0,,Lunar phase-gz mismatch; ,243.0,6044.0,60.0,5.0,0.0,1809968.5,1809996.5,,29.0,,,59.0,邵陵厲公曹芳,三國魏
7,8,89.0,3657.0,48.0,1.0,249.0,254.0,6.0,嘉平,嘉平元年二月己未朔,0,1.0,,2,,56.0,0.0,,Lunar phase-gz mismatch; ,249.0,6115.0,6.0,2.0,0.0,1812064.5,1812093.5,,30.0,,,55.0,邵陵厲公曹芳,三國魏
8,9,91.0,3658.0,48.0,1.0,256.0,260.0,5.0,甘露,高貴鄉公甘露四年七月戊子朔,0,4.0,,7,1.0,25.0,0.0,0.0,,259.0,6244.0,16.0,7.0,0.0,1815874.5,1815902.5,,29.0,1815874.5,0259-08-06,25.0,高貴鄉公曹髦,三國魏
9,10,91.0,3658.0,48.0,1.0,256.0,260.0,5.0,甘露,五年正月乙酉朔,0,5.0,,1,1.0,22.0,0.0,0.0,,260.0,6250.0,17.0,1.0,0.0,1816051.5,1816080.5,,30.0,1816051.5,0260-01-30,22.0,高貴鄉公曹髦,三國魏
