date_index,date_string,has_int,year,sex_year,month,day,gz,lp,intercalary,cal_stream,dyn_id,ruler_id,era_id,era_start_year,era_end_year,era_start_jdn,era_end_jdn
0,庚午年三月八日,0,16,7,3,8,,,0,1,41.0,1878.0,1309.0,-245,-209.0,1631515.5,1644657.5
0,庚午年三月八日,0,10,7,3,8,,,0,1,43.0,3631.0,683.0,-179,-163.0,1655995.5,1661843.5
0,庚午年三月八日,0,10,7,3,8,,,0,1,43.0,3631.0,683.0,-179,-163.0,1655995.5,1661843.5
0,庚午年三月八日,0,6,7,3,8,,,0,1,43.0,3839.0,8.0,-115,-110.0,1679001.5,1681570.5
0,庚午年三月八日,0,3,7,3,8,,,0,1,43.0,3634.0,23.0,-52,-49.0,1702093.5,1703570.5
0,庚午年三月八日,0,2,7,3,8,,,0,1,44.0,3727.0,41.0,9,13.0,1724359.5,1726190.5
0,庚午年三月八日,0,13,7,3,8,,,0,1,46.0,3854.0,47.0,58,75.0,1742285.5,1748870.5
0,庚午年三月八日,0,5,7,3,8,,,0,1,46.0,3647.0,59.0,126,132.0,1767119.5,1769376.5
0,庚午年三月八日,0,5,7,3,8,,,1,1,46.0,3647.0,59.0,126,132.0,1767119.5,1769376.5
0,庚午年三月八日,0,1,7,3,8,,,0,1,46.0,3656.0,80.0,190,193.0,1790508.5,1791967.5
0,庚午年三月八日,0,2,7,3,8,,,0,1,48.0,3657.0,89.0,249,254.0,1812124.5,1813925.5
0,庚午年三月八日,0,4,7,3,8,,,0,1,51.0,3662.0,130.0,307,313.0,1833239.5,1835538.5
0,庚午年三月八日,0,2,7,3,8,,,0,1,54.0,264.0,153.0,309,310.0,1834094.5,1834508.5
0,庚午年三月八日,0,5,7,3,8,,,0,1,56.0,3009.0,163.0,306,310.0,1832647.5,1834685.5
0,庚午年三月八日,0,5,7,3,8,,,0,1,51.0,3665.0,143.0,366,371.0,1854766.5,1856941.5
0,庚午年三月八日,0,14,7,3,8,,,0,1,58.0,275.0,183.0,357,371.0,1853880.5,1856981.5
0,庚午年三月八日,0,11,7,3,8,,,0,1,59.0,4001.0,190.0,360,370.0,1852580.5,1856538.5
0,庚午年三月八日,0,6,7,3,8,,,0,1,62.0,4326.0,197.0,365,385.0,1854411.5,1861942.5
0,庚午年三月八日,0,3,7,3,8,,,0,1,68.0,7342.0,234.0,428,431.0,1877416.5,1889611.5
0,庚午年三月八日,0,3,7,3,8,,,0,1,71.0,303.0,249.0,428,431.0,1877445.5,1878715.5
0,庚午年三月八日,0,22,7,3,8,,,0,1,72.0,291.0,251.0,409,430.0,1870742.5,1878508.5
0,庚午年三月八日,0,8,7,3,8,,,0,1,83.0,3732.0,262.0,423,424.0,1875585.5,1883617.5
0,庚午年三月八日,0,8,7,3,8,,,0,1,84.0,4361.0,273.0,483,493.0,1897208.5,1901513.5
