person_id,string,abr,era_prefix_only,string_simp
4520,武成,True,True,武成
3679,哀平,True,True,哀平
3821,宣武,True,True,亘武
3825,孝明,True,True,孝明
4051,太武,True,True,太武
311,道武,True,True,道武
4487,孝宣,True,True,孝亘
3901,文桓,True,True,文桓
4362,武昭,True,True,武昭
7866,景明,True,True,景明
15273,天皇大帝,True,True,天皇大帝
4326,宣昭,True,True,亘昭
288,昭文,True,True,昭文
3672,惠愍,True,True,惠愍
3673,昭武,True,True,昭武
3703,成武,True,True,成武
290,惠懿,True,True,惠懿
292,昭成,True,True,昭成
3819,孝文,True,True,孝文
3740,孝莊,True,True,孝庄
316,獻文,True,True,献文
315,文成,True,True,文成
15261,明道崇德文宣,True,True,明道崇德文亘
15293,孝和,True,True,孝和
15292,神武,True,True,神武
15283,神武聖文,True,True,神武圣文
15347,睿聖文孝,True,True,睿圣文孝
15345,仁惠宣孝,True,True,仁惠亘孝
15351,光聖仁孝,True,True,光圣仁孝
15350,翼獻莊和,True,True,翼献庄和
15344,欽明廣孝,True,True,钦明广孝
15346,聖文欽孝,True,True,圣文钦孝
15343,聖德神功文武,True,True,圣德神功文武
4519,文宣,True,True,文亘
4521,孝昭,True,True,孝昭
7809,孝靜,True,True,孝静
312,明元,True,True,明元
291,文成,True,True,文成
3998,景昭,True,True,景昭
3635,文明,True,True,文明
3654,孝桓,True,True,孝桓
3837,孝靈,True,True,孝灵
3854,孝明,True,True,孝明
3040,昭文,True,True,昭文
3710,昭烈,True,True,昭烈
3729,孝懷,True,True,孝怀
262,更始,True,True,更始
4356,簡文,True,True,简文
3662,孝懷,True,True,孝怀
3877,孝惠,True,True,孝惠
3871,簡文,True,True,简文
3872,孝武,True,True,孝武
3833,前廢,True,True,前废
3860,孝武,True,True,孝武
3682,孝閔,True,True,孝闵
3917,孝宣,True,True,孝亘
3656,孝獻,True,True,孝献
3653,孝質,True,True,孝质
3630,孝惠,True,True,孝惠
3652,孝沖,True,True,孝冲
3631,孝文,True,True,孝文
3632,孝景,True,True,孝景
3633,孝昭,True,True,孝昭
3634,孝宣,True,True,孝亘
3708,孝元,True,True,孝元
3723,孝成,True,True,孝成
3724,孝哀,True,True,孝哀
3725,孝平,True,True,孝平
3839,孝武,True,True,孝武
266,昭武,True,True,昭武
3643,光武,True,True,光武
3644,孝章,True,True,孝章
3645,孝和,True,True,孝和
3646,孝安,True,True,孝安
3647,孝順,True,True,孝顺
15260,光文肅武孝高,True,True,光文肃武孝高
264,光文,True,True,光文
15327,聖宗,True,True,圣宗
15297,孝武惠文,True,True,孝武惠文
15375,法天隆運至誠,True,True,法天隆运至诚
15373,合天弘運文武,True,True,合天弘运文武
15379,繼天開運受中,True,True,继天开运受中
15378,協天翊運執中,True,True,协天翊运执中
15380,同天崇運大中,True,True,同天崇运大中
15377,效天符運立中,True,True,效天符运立中
15370,承天廣運聖德,True,True,承天广运圣德
15371,應天興國弘德,True,True,应天兴国弘德
15376,受天興運敷化,True,True,受天兴运敷化
15372,體天隆運定統,True,True,体天隆运定统
15374,敬天昌運建中,True,True,敬天昌运建中
15359,法天立道仁明,True,True,法天立道仁明
15365,契天隆道淵懿,True,True,契天隆道渊懿
15366,範天合道哲肅,True,True,范天合道哲肃
15368,達天闡道敦孝,True,True,达天阐道敦孝
15298,孝和莊憲,True,True,孝和庄宪
15296,大聖大明神烈,True,True,大圣大明神烈
15356,啓天弘道高明,True,True,启天弘道高明
15300,孝成康靖,True,True,孝成康靖
15326,聖文,True,True,圣文
318,孝武,True,True,孝武
3741,前廢,True,True,前废
3741,節閔,True,True,节闵
7178,孝靖,True,True,孝靖
7175,孝明,True,True,孝明
4358,孝元,True,True,孝元
3733,後廢,True,True,后废
16957,紹武,True,True,绍武
15335,德宗,True,True,德宗
15333,武元,True,True,武元
15334,文烈,True,True,文烈
15303,仁聖大孝,True,True,仁圣大孝
15301,文武大聖廣孝,True,True,文武大圣广孝
15299,孝安敬正,True,True,孝安敬正
15363,承天達道英肅,True,True,承天达道英肃
15302,神聖孝章,True,True,神圣孝章
15361,繼天凝道顯中,True,True,继天凝道显中
15306,至仁應道神功,True,True,至仁应道神功
15307,應符稽古成功,True,True,应符稽古成功
15318,建道備德大功,True,True,建道备德大功
15312,體神合道開德,True,True,体神合道开德
15319,端文明武景孝,True,True,端文明武景孝
15317,法天備道純德,True,True,法天备道纯德
15315,紹統同道冠德,True,True,绍统同道冠德
15305,啓運立極英武,True,True,启运立极英武
15316,循道憲仁明功,True,True,循道宪仁明功
15309,體乾應曆隆功,True,True,体干应历隆功
15308,體天法道極功,True,True,体天法道极功
15330,英文,True,True,英文
15324,昭英,True,True,昭英
15328,昭簡,True,True,昭简
15323,武烈,True,True,武烈
15369,紹天繹道剛明,True,True,绍天绎道刚明
15325,康靖,True,True,康靖
15310,紹天法古運德,True,True,绍天法古运德
15311,憲天敦化寧文,True,True,宪天敦化宁文
15314,受命中興全功,True,True,受命中兴全功
15285,武成英烈昭肅,True,True,武成英烈昭肃
15358,憲天崇道英明,True,True,宪天崇道英明
15362,達天明道純誠,True,True,达天明道纯诚
15254,睿武孝文,True,True,睿武孝文
15354,開天行道肇紀,True,True,开天行道肇纪
15367,崇天契道英睿,True,True,崇天契道英睿
15360,恭仁康定景,True,True,恭仁康定景
15364,欽天履道英毅,True,True,钦天履道英毅
15357,敬天體道純誠,True,True,敬天体道纯诚
15253,聖神恭肅文武,True,True,圣神恭肃文武
15243,神武元聖孝,True,True,神武元圣孝
15249,聖文章武明德,True,True,圣文章武明德
15245,光聖神閔孝,True,True,光圣神闵孝
15246,聖德和武欽孝,True,True,圣德和武钦孝
15251,睿文聖武昭肅,True,True,睿文圣武昭肃
16643,朱聿鍵,,False,朱聿键
15383,朱友珪,,False,朱友珪
15381,愛新覺羅溥儀,,False,爱新觉罗溥仪
15382,錢弘倧,,False,钱弘倧
16641,朱友貞,,False,朱友贞
16649,耶律夷列,,False,耶律夷列
16640,趙旉,,False,赵旉
16642,朱由崧,,False,朱由崧
15379,愛新覺羅載淳,,False,爱新觉罗载淳
16647,耶律大石,,False,耶律大石
15380,愛新覺羅載湉,,False,爱新觉罗载湉
15373,愛新覺羅玄燁,,False,爱新觉罗玄烨
15378,愛新覺羅奕詝,,False,爱新觉罗奕𬣞
15377,愛新覺羅旻寧,,False,爱新觉罗旻宁
15376,愛新覺羅顒琰,,False,爱新觉罗颙琰
15375,愛新覺羅弘曆,,False,爱新觉罗弘历
15374,愛新覺羅胤禛,,False,爱新觉罗胤禛
