Variant,Norm
⺩,𤣩
⻃,覀
⻊,𧾷
⻑,长
⻒,镸
⻔,门
⻗,雨
〢,行
ㄊ,云
㐁,西
㐅,五
㐜,仇
㐨,予
㐪,亥
㐫,凶
㐰,信
㐵,儒
㐶,化
㑌,匡
㑓,俊
㑚,那
㑲,备
㑹,会
㑺,俊
㒉,傥
㒚,文
㒞,俊
㒪,锡
㒰,全
㒶,公
㒷,兴
㓋,洪
㓍,流
㓒,恭
㓗,洁
㓘,玊
㓙,凶
㓚,功
㓞,契
㓩,斤
㓪,朗
㓽,崇
㔊,亶
㔗,弗
㔜,勃
㔤,审
㔦,养
㔪,卤
㔰,恒
㕆,居
㕋,金
㕌,厚
㕛,友
㕢,睿
㕫,方
㕬,讼
㕯,讷
㕲,味
㕵,国
㕷,白
㕿,香
㖀,律
㖖,辛
㖟,受
㖠,那
㖼,谋
㗅,胡
㗒,哀
㗔,虔
㗳,塔
㘖,颜
㘠,必
㘢,光
㘣,圆
㘤,渊
㘦,功
㙅,保
㙉,腆
㙋,旗
㙑,宇
㙔,韩
㙨,畿
㙮,塔
㚅,隆
㚆,复
㚈,升
㚉,嬴
㚓,奈
㚘,扶
㚥,好
㚬,姁
㛃,契
㛔,烽
㛲,发
㛵,称
㜃,信
㜑,婆
㜓,塔
㜥,买
㜲,嬴
㜳,怀
㜽,子
㜾,孤
㝀,好
㝄,纯
㝉,宣
㝊,守
㝎,定
㝐,容
㝒,居
㝕,宁
㝟,宽
㝫,隆
㞂,妥
㞐,居
㞑,尾
㞛,履
㞧,会
㞭,青
㞵,安
㞷,封
㞾,尼
㟀,岳
㟅,凶
㟫,泉
㟶,原
㠅,复
㠍,集
㠦,礼
㠪,五
㠱,杞
㠻,希
㠼,斯
㡄,恂
㡣,龙
㡥,隐
㡭,继
㡰,宇
㡴,立
㢂,厚
㢍,英
㢕,雍
㢖,审
㢞,翼
㢟,延
㢥,咸
㢧,卷
㢬,弘
㢴,西
㢹,辟
㣁,备
㣏,静
㣑,容
㣓,粲
㣚,侗
㣛,会
㣜,衎
㣟,佶
㣧,胤
㣵,达
㤅,爱
㤌,甘
㤏,恪
㤗,泰
㤙,恩
㤠,烈
㤢,侑
㤩,恪
㤵,慈
㥀,德
㥁,德
㥅,授
㥆,棣
㥗,旻
㥛,极
㥣,惠
㥧,顺
㥫,惇
㥲,慎
㥷,厯
㥸,闵
㥼,隐
㦁,连
㦂,常
㦄,历
㦉,懿
㦊,烨
㦕,隆
㦡,乐
㦤,懿
㦮,钱
㦱,武
㦴,格
㦽,彧
㧃,收
㧋,拔
㧤,充
㧲,宋
㧾,总
㧿,从
㨀,秉
㨟,桤
㨯,扩
㨴,建
㩍,策
㩡,拓
㩤,敷
㩨,慧
㩿,乞
㪂,乞
㪄,弗
㪅,更
㪈,封
㪒,儿
㪟,敦
㪩,肃
㪰,斋
㫀,鼎
㫅,旗
㫎,徽
㫒,升
㫕,光
㫗,厚
㫜,旦
㫟,昭
㫤,昶
㫥,昭
㫦,修
㫫,显
㫰,朗
㫱,赤
㫷,期
㬈,温
㬌,景
㬐,晋
㬕,祥
㬙,𬀩
㬜,晋
㬢,曦
㬫,燕
㬬,曜
㬮,难
㭃,纲
㭒,杞
㭙,持
㭶,芳
㭿,昂
㮤,松
㮷,稽
㮹,致
㮺,本
㯄,郁
㯥,曹
㯬,建
㰢,欣
㰪,封
㰴,歆
㰹,咸
㱂,康
㱅,懿
㱉,邺
㱏,正
㱑,步
㲟,英
㲥,唐
㲦,干
㲾,雨
㳒,法
㳘,流
㳞,冲
㳟,恭
㴉,济
㴍,承
㴗,幽
㴛,致
㴝,黎
㴟,源
㴱,深
㴴,湛
㵄,汉
㵏,漼
㵑,贺
㵖,洁
㵙,清
㵦,随
㵮,淳
㵯,凤
㶐,应
㶜,渊
㶧,炳
㶨,丕
㶷,恂
㶻,烽
㷂,熙
㷑,烟
㷕,猷
㷖,照
㷩,熙
㷴,历
㷸,烨
㷻,无
㷼,燕
㸘,万
㸢,备
㸣,业
㸫,犍
㸹,特
㹅,总
㹇,犍
㹹,庚
㻃,豊
㻄,宝
㻉,步
